# written by scripts/call.py during the run of BRIEF.md (e9b2b92c) on 2026-09-14, one row per surface call; stdout of row n is raw/calls/NNN.out (gitignored); bytes = stdout length; into = context (the whole answer was read by the agent) or file (measured, then projected with jq)
n,phase,surface,question,verb_or_tool,args,exit,rows,bytes,wall_ms,into,note
1,1,cli,setup,acq store status --json,store status --json,0,1,412,700,context,brief's verification: the copy's counts
2,1,cli,setup,acq daemon status,daemon status,0,1,40,4,context,"brief's verification: no daemon, and it stays so"
3,1,cli,orientation,acq --help,--help,0,35,4757,5,file,step 1: the only CLI orientation input allowed
4,1,cli,orientation,acq items search --help,items search --help,0,12,649,4,context,step 1: the search verb's own help
5,1,cli,orientation,acq items search  --limit 1 --json,items search  --limit 1 --json,0,1,3536,5,context,row shape: one row of everything
6,1,cli,orientation,acq accounts --json,accounts --json,0,1,289,4,context,the accounts index
7,1,cli,dump,acq items search  --limit 100000 --json,items search  --limit 100000 --json,0,22721,63534917,2335,file,"the CLI seat's escape hatch: everything, to a file, for jq"
8,1,cli,A1,acq tabs --json,tabs --json,0,3347,1006740,59,file,"facet: items per tab, Standard only"
9,1,cli,A1,acq store characters --json,store characters --json,0,65,20097,7,file,"facet: characters with item counts, every league"
10,1,mcp,orientation,search_items,"{""text"":"""",""limit"":1}",0,1,2245,10,file,driver replay of the harness call: exact bytes
11,1,mcp,orientation,store_status,{},0,1,354,138,context,
12,1,mcp,A1,tabs,{},0,3347,745672,133,file,"no limit parameter: measured, not put in context"
13,1,mcp,A1,characters,{},0,65,15805,5,file,"measured, not put in context"
14,1,mcp,orientation,search_items,"{""text"":""""}",0,50,91555,15,file,the default page: 50 whole bodies
15,1,mcp,orientation,accounts,{},0,1,148,1,context,
16,1,workaround,A1,jq -c,"-c group_by(.league)|map({league:.[0].league,n:length}) /Users/tom/Development/GitHub/gerwaric/acquisition/spikes/rust-playground/search/agent-seat/raw/calls/007.out",0,2,65,786,context,jq over the dump: items per league
