id,text,class,evidence_source,evidence_locator,note
pseudo.pseudo_total_cold_resistance,+#% total to Cold Resistance,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total to Cold Resistance""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_fire_resistance,+#% total to Fire Resistance,sum,search/trade-query/data/fetch-census.json,queries.q5.fetched[0].lines.pseudoMods[0],the site's own answer on a fetched item (+80% total to Fire Resistance); pseudomods.toml sums the same lines
pseudo.pseudo_total_lightning_resistance,+#% total to Lightning Resistance,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total to Lightning Resistance""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_elemental_resistance,+#% total Elemental Resistance,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total Elemental Resistance""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_chaos_resistance,+#% total to Chaos Resistance,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total to Chaos Resistance""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_resistance,+#% total Resistance,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+#% total Resistance""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_count_resistances,# total Resistances,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_count_elemental_resistances,# total Elemental Resistances,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_total_all_elemental_resistances,+#% total to all Elemental Resistances,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_total_strength,+# total to Strength,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Strength""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_dexterity,+# total to Dexterity,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Dexterity""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_intelligence,+# total to Intelligence,sum,search/cpp-search/data/pseudomods.toml,"[[pseudomod]] name=""+# total to Intelligence""","sums the listed templates, a template listed N times counting N times"
pseudo.pseudo_total_all_attributes,+# total to all Attributes,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_total_life,+# total maximum Life,sum,search/trade-query/data/fetch-census.json,queries.q4.fetched[0].lines.pseudoMods[1],the site's own answer on a fetched item (+71 total maximum Life)
pseudo.pseudo_total_mana,+# total maximum Mana,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
pseudo.pseudo_total_energy_shield,+# total maximum Energy Shield,unresolved,,,"run one trade search on this id and read the returned item's pseudoMods against its lines, as fetch-census Q5 did for fire resistance; no input names the lines it aggregates"
