# generated by scripts/coverage.py from data/conditions.csv, ../cpp-search/data/filters.toml, ../trade-query/data/grammar.json. One row per C++ filter and per trade filter that reads an item; trade's status_filters and trade_filters groups are excluded (they read a listing, not an item). `condition` is the inversion of conditions.csv; `kind` is hand-kept.
side,filter,group,condition,kind,note
cpp,Tab,TopForm,,none,Location is not an item property; the filter language runs at drop time.
cpp,Name,TopForm,BaseType,divergent,"BaseType matches a base-type name; the C++ Name filter is a case-insensitive substring over name+typeLine together, so it also matches unique names, which no condition does."
cpp,Category,TopForm,Class,divergent,Class names an item class; the C++ Category substring-matches RePoE class display names. Different vocabularies for the same axis.
cpp,Rarity,TopForm,Rarity,divergent,Rarity is ORDERED in the filter language (Rarity > Magic); the C++ combo is an unordered choice.
cpp,Crit.,Offense,,none,No condition for a weapon's critical strike chance.
cpp,DPS,Offense,,none,No derived-DPS condition of any kind.
cpp,pDPS,Offense,,none,
cpp,eDPS,Offense,,none,
cpp,cDPS,Offense,,none,
cpp,APS,Offense,,none,
cpp,Armour,Defense,,none,BaseArmour is the BASE value; there is no condition for the total after mods.
cpp,Evasion,Defense,,none,As Armour: only BaseEvasion.
cpp,Shield,Defense,,none,As Armour: only BaseEnergyShield.
cpp,Block,Defense,,none,
cpp,Sockets,Sockets,Sockets,exact,Sockets; the C++ Colors filter is the same condition's colour letters.
cpp,Links,Sockets,LinkedSockets,exact,LinkedSockets.
cpp,Colors,Sockets,Sockets,exact,The colour half of the Sockets condition (R/G/B/A/D/W).
cpp,Linked,Sockets,SocketGroup,exact,The colour half of SocketGroup.
cpp,R. Level,Requirements,,none,No condition for any requirement.
cpp,R. Str,Requirements,,none,
cpp,R. Dex,Requirements,,none,
cpp,R. Int,Requirements,,none,
cpp,Quality,Misc,Quality,exact,
cpp,Level,Misc,GemLevel,exact,GemLevel.
cpp,Map Tier,Misc,MapTier,exact,
cpp,ilvl,Misc,ItemLevel,exact,ItemLevel.
cpp,Alt. art,MiscFlags,,none,
cpp,Priced,MiscFlags,,none,"A buyout is Acquisition's own state, not GGG's."
cpp,Unidentified,MiscFlags2,Identified,exact,"Identified, negated."
cpp,Influenced,MiscFlags2,ElderItem; HasInfluence; ShaperItem,divergent,"One boolean over six influences; the filter language names each influence separately (HasInfluence, ShaperItem, ElderItem)."
cpp,Crafted,MiscFlags2,,none,"No condition for a crafted mod, though trade has one."
cpp,Enchanted,MiscFlags2,AnyEnchantment; HasEnchantment,exact,AnyEnchantment.
cpp,Corrupted,MiscFlags2,Corrupted,exact,
cpp,Fractured,MiscFlags2,FracturedItem,exact,FracturedItem.
cpp,Split,MiscFlags2,,none,
cpp,Synthesized,MiscFlags2,SynthesisedItem,exact,SynthesisedItem — GGG spells it with an s.
cpp,Mutated,MiscFlags2,Foulborn,exact,Foulborn is GGG's word for the same flag.
cpp,Mods,Mods,EnchantmentPassiveNode; EnchantmentPassiveNum; HasExplicitMod,divergent,HasExplicitMod takes a count over a set of named mods and no numeric range on the mod's own value; the C++ mod filter ranges a mod's value.
trade,category,type_filters,Class,divergent,Class; trade's categories are coarser than the class names (repoe class-to-trade-category.csv).
trade,rarity,type_filters,Rarity,divergent,"Rarity; the filter's four values are ordered, trade adds uniquefoil and nonunique."
trade,damage,weapon_filters,,none,No condition for any computed weapon number.
trade,aps,weapon_filters,,none,
trade,crit,weapon_filters,,none,
trade,dps,weapon_filters,,none,
trade,pdps,weapon_filters,,none,
trade,edps,weapon_filters,,none,
trade,ar,armour_filters,,none,"Only BaseArmour, the base value before mods."
trade,ev,armour_filters,,none,Only BaseEvasion.
trade,es,armour_filters,,none,Only BaseEnergyShield.
trade,ward,armour_filters,,none,Only BaseWard.
trade,block,armour_filters,,none,
trade,base_defence_percentile,armour_filters,BaseDefencePercentile,exact,BaseDefencePercentile — the same name and the same definition.
trade,sockets,socket_filters,Sockets,exact,Sockets.
trade,links,socket_filters,LinkedSockets; SocketGroup,exact,LinkedSockets and SocketGroup.
trade,lvl,req_filters,,none,No condition for any requirement.
trade,str,req_filters,,none,
trade,dex,req_filters,,none,
trade,int,req_filters,,none,
trade,class,req_filters,,none,"Character class requirement; the filter language's Class is the ITEM class, a different axis."
trade,map_tier,map_filters,MapTier,exact,MapTier.
trade,map_packsize,map_filters,,none,
trade,map_iiq,map_filters,,none,
trade,map_iir,map_filters,,none,
trade,map_gold,map_filters,,none,
trade,chart_sulphur,map_filters,,none,
trade,chart_shape,map_filters,,none,
trade,area_level,map_filters,AreaLevel,divergent,"AreaLevel names the level of the area the item DROPPED in, not a map's own area level."
trade,map_series,map_filters,,none,
trade,map_blighted,map_filters,BlightedMap,exact,BlightedMap.
trade,map_uberblighted,map_filters,UberBlightedMap,exact,UberBlightedMap.
trade,map_completion_reward,map_filters,,none,
trade,heist_wings,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_max_wings,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_escape_routes,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_max_escape_routes,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_reward_rooms,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_max_reward_rooms,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_objective_value,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_lockpicking,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_brute_force,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_perception,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_demolition,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_counter_thaumaturgy,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_trap_disarmament,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_agility,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_deception,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,heist_engineering,heist_filters,,none,League-mechanic number; the filter language names none of them.
trade,sanctum_resolve,sanctum_filters,,none,League-mechanic number; the filter language names none of them.
trade,sanctum_max_resolve,sanctum_filters,,none,League-mechanic number; the filter language names none of them.
trade,sanctum_inspiration,sanctum_filters,,none,League-mechanic number; the filter language names none of them.
trade,sanctum_gold,sanctum_filters,,none,League-mechanic number; the filter language names none of them.
trade,ultimatum_challenge,ultimatum_filters,,none,League-mechanic number; the filter language names none of them.
trade,ultimatum_reward,ultimatum_filters,,none,League-mechanic number; the filter language names none of them.
trade,ultimatum_input,ultimatum_filters,,none,League-mechanic number; the filter language names none of them.
trade,ultimatum_output,ultimatum_filters,,none,League-mechanic number; the filter language names none of them.
trade,quality,misc_filters,Quality,exact,
trade,ilvl,misc_filters,ItemLevel,exact,ItemLevel.
trade,gem_level,misc_filters,GemLevel,exact,GemLevel.
trade,gem_level_progress,misc_filters,,none,
trade,gem_transfigured,misc_filters,TransfiguredGem,exact,"TransfiguredGem, which can also name the gem."
trade,gem_vaal,misc_filters,,none,"IsVaalUnique is a PoE2 unique flag, not a Vaal gem."
trade,fractured_item,misc_filters,FracturedItem,exact,FracturedItem.
trade,gem_imbued,misc_filters,Imbued,exact,Imbued.
trade,synthesised_item,misc_filters,SynthesisedItem,exact,SynthesisedItem.
trade,searing_item,misc_filters,HasSearingExarchImplicit,divergent,HasSearingExarchImplicit compares an implicit TIER 1-6; the trade filter is yes/no.
trade,tangled_item,misc_filters,HasEaterOfWorldsImplicit,divergent,HasEaterOfWorldsImplicit compares an implicit TIER 1-6; the trade filter is yes/no.
trade,identified,misc_filters,Identified,exact,
trade,corrupted,misc_filters,Corrupted,exact,
trade,mirrored,misc_filters,Mirrored,exact,
trade,split,misc_filters,,none,
trade,crafted,misc_filters,,none,
trade,veiled,misc_filters,,none,
trade,foreseeing,misc_filters,,none,
trade,vestigial,misc_filters,Vestigial,exact,
trade,memory_level,misc_filters,MemoryStrands,exact,MemoryStrands.
trade,intangibility,misc_filters,,none,
trade,stored_experience,misc_filters,,none,
trade,stack_size,misc_filters,StackSize,exact,StackSize.
trade,alternate_art,misc_filters,,none,"AlternateQuality is gem quality, not alternate art."
trade,foil_variation,misc_filters,,none,
trade,corpse_type,misc_filters,,none,
trade,scourge_tier,misc_filters,Scourged,divergent,Scourged is yes/no; the trade filter compares a tier.
trade,crucible_item,misc_filters,HasCruciblePassiveTree,exact,HasCruciblePassiveTree.
trade,mutated,misc_filters,Foulborn,exact,Foulborn.
