# generated by scripts/columns-vs-json.py from crates/acquisition-store/src/{schema.sql,lib.rs,snapshot.rs} and ../item-facts/data/field-census.csv
kind,table,name,sql_type,source,json_path,census_items,census_share,depth,exposed_in,note
column,characters,class,TEXT,verbatim,class,,,,,listing-owned
column,characters,fetched_at,INTEGER,bookkeeping,,,,,,
column,characters,id,TEXT PRIMARY KEY,identity,id,,,,,"identity, stable across renames (C55)"
column,characters,json,TEXT NOT NULL,verbatim,(whole character),,,,,the fetched character minus its item arrays
column,characters,league,TEXT,verbatim,league,,,,,listing-owned: a fetch never overwrites it (C54)
column,characters,level,INTEGER,verbatim,level,,,,,listing-owned
column,characters,listed_at,INTEGER,bookkeeping,,,,,,
column,characters,listed_json,TEXT,verbatim,(listing entry),,,,,"deleted/expired/experience live here (C61, C62)"
column,characters,listed_response,INTEGER,bookkeeping,,,,,,
column,characters,name,TEXT NOT NULL,verbatim,name,,,,,the ADDRESS a fetch takes; listing-owned (C55)
column,characters,realm,TEXT NOT NULL DEFAULT 'pc',ingest-fact,,,,,,the request's realm (C60)
column,characters,removed_at,INTEGER,bookkeeping,,,,,,
column,item_events,at,INTEGER NOT NULL,bookkeeping,,,,,,
column,item_events,from_location,TEXT,ingest-fact,,,,,,the full coordinate as a string (C29/C54)
column,item_events,id,INTEGER PRIMARY KEY,bookkeeping,,,,,,
column,item_events,item_id,TEXT NOT NULL,identity,id,,,,,
column,item_events,kind,TEXT NOT NULL,ingest-fact,,,,,,added | moved | changed | removed; veiledMods ignored (N36)
column,item_events,response_id,INTEGER NOT NULL,bookkeeping,,,,,,
column,item_events,to_location,TEXT,ingest-fact,,,,,,the full coordinate as a string
column,items,base_type,TEXT,derived-from-json,baseType,36139,1.000,,ItemRow,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,container,TEXT,ingest-fact,,,,,ItemRow+ItemSnapshot,"the array the item came from; not in the json, so rebuild cannot recompute it (C56)"
column,items,first_seen,INTEGER NOT NULL,bookkeeping,,,,,ItemRow,store clock
column,items,h,INTEGER,derived-from-json,h,36139,1.000,,,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,id,TEXT PRIMARY KEY,identity,id,36139,1.000,,ItemRow+ItemSnapshot,"GGG item id, stable across moves; an id-less item is refused (C29/C57)"
column,items,json,TEXT NOT NULL,verbatim,(whole item),,,,ItemRow,the item verbatim minus socketedItems; a granted-skill subtree stays inside (C57)
column,items,last_seen,INTEGER NOT NULL,bookkeeping,,,,,ItemRow+ItemSnapshot,store clock
column,items,league,TEXT,ingest-fact,,,,,ItemRow,the request's league; NULL for a character item
column,items,location_id,TEXT NOT NULL,ingest-fact,,,,,ItemRow+ItemSnapshot,"tab/substash id, or character id (C55)"
column,items,location_kind,TEXT NOT NULL,ingest-fact,,,,,ItemRow+ItemSnapshot,stash | character
column,items,name,TEXT,derived-from-json,name,36139,1.000,,ItemRow+ItemSnapshot,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,rarity,TEXT,derived-from-json,rarity,25370,0.702,,ItemRow,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,realm,TEXT NOT NULL DEFAULT 'pc',ingest-fact,,,,,ItemRow,"the REQUEST's realm, never the body's `realm` field (C60)"
column,items,removed_at,INTEGER,bookkeeping,,,,,ItemRow,"set when a fetch of its location no longer had it, or the location was retired"
column,items,seen_response,INTEGER,bookkeeping,,,,,ItemSnapshot,responses.id of the fetch that last saw it here; membership is per response (C54)
column,items,socketed_in,TEXT,ingest-fact,,,,,ItemRow+ItemSnapshot,parent item id for a lifted socketed gem
column,items,stack_size,INTEGER,derived-from-json,stackSize,2749,0.076,,ItemRow+ItemSnapshot,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,type_line,TEXT,derived-from-json,typeLine,36139,1.000,,ItemRow+ItemSnapshot,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,w,INTEGER,derived-from-json,w,36139,1.000,,,"re-extracted by Store::rebuild, never a refetch (C29)"
column,items,x,INTEGER,derived-from-json,x,34161,0.945,,ItemSnapshot,"re-extracted by Store::rebuild, never a refetch (C29)"
