# generated by scripts/extract-conditions.py from raw/Path of Exile - Item Filters.html (page save, MANIFEST.md), ../cpp-search/data/filters.toml, ../trade-query/data/grammar.json, ../trade-query/data/stats-2026-09-12.json, ../item-facts/data/field-census.csv. condition/ribbon/values/example are the page's own vocabulary; its prose descriptions are NOT copied here (BRIEF) and `notes` paraphrases what they add. operand_type, operators, item_field, cpp_filter, trade_filter and notes are hand-kept and validated against those files. operators is derived: the page states ONE operator table (= ! != < <= > >= ==) and no per-condition restriction, so this column records the set that is meaningful for the operand.
condition,ribbon,operand_type,operators,values,example,item_field,cpp_filter,trade_filter,notes
AlternateQuality,,boolean,= ! != ==,True / False,AlternateQuality True,absent:no export field for alternate gem quality,,,Gem alternate quality. The trade capture has no filter for it either.
AlwaysShow,PoE2-only,boolean,= ! != ==,True / False,AlwaysShow True,absent:drop-time UI state,,,"PoE2-only ribbon. A drop-label property, not an item property."
AnyEnchantment,,boolean,= ! != ==,True / False,AnyEnchantment True,enchantMods[],Enchanted,,cpp reads item.enchanted(); trade has an `enchant` stat category but no boolean filter.
ArchnemesisMod,,name,= ! != ==,Archnemesis modifier name,"ArchnemesisMod ""Toxic""",absent:no export field,,,Names an Archnemesis modifier on a monster-modifier item.
AreaLevel,,numeric,= ! != < <= > >= ==,Numeric,AreaLevel < 30,"absent:drop context, not on the item",,area_level,"SAME SPELLING, DIFFERENT REFERENT: the filter reads the level of the area the item dropped in; trade's area_level reads a map's own area level."
BaseArmour,,numeric,= ! != < <= > >= ==,Numeric,BaseArmour > 500,base-data:RePoE base_items properties,,,Base value before mods. cpp `Armour` and trade `ar` both read the TOTAL.
BaseDefencePercentile,,numeric,= ! != < <= > >= ==,Numeric,BaseDefencePercentile >= 90,"derived:base defence rolls, averaged",,base_defence_percentile,"Exact agreement with trade, name and meaning. The page: zero for non-equipment, 100 by default for equipment, otherwise the average percentile of the base defence values. Nothing in the export carries it."
BaseEnergyShield,,numeric,= ! != < <= > >= ==,Numeric,BaseEnergyShield > 200,base-data:RePoE base_items properties,,,"Base, not total; cpp `Shield` and trade `es` read the total."
BaseEvasion,,numeric,= ! != < <= > >= ==,Numeric,BaseEvasion >= 153,base-data:RePoE base_items properties,,,"Base, not total; cpp `Evasion` and trade `ev` read the total."
BaseType,,name,= ! != ==,Item name,"BaseType ""Thicket Bow""",baseType|typeLine,Name,query.type,"The page states only that == is ""Exact match""; what a bare value matches is NOT stated (Q1). cpp `Name` is a case-insensitive substring over name+typeLine together, so it also matches unique names. trade's `type` is a query field, not a filter-group id."
BaseWard,,numeric,= ! != < <= > >= ==,Numeric,BaseWard >= 20,base-data:RePoE base_items properties,,,"Base, not total; trade `ward` reads the total."
BlightedMap,,boolean,= ! != ==,True / False,BlightedMap False,derived:no export field / candidate is the map item name,,map_blighted,The export carries no blighted flag (Q2).
Class,,name,= ! != ==,Item class name,Class Currency,derived:base type -> item class,Category,category,"Three taxonomies: the filter's class names, the C++ `Category` (RePoE class display names, substring-matched), trade's `category` ids (coarser; repoe class-to-trade-category.csv)."
Corrupted,,boolean,= ! != ==,True / False,Corrupted True,corrupted,Corrupted,corrupted,"All three name it, same word."
CorruptedMods,,numeric,= ! != < <= > >= ==,Numeric,CorruptedMods >= 1,absent:corrupted-implicit count not exported,,,
DropLevel,,numeric,= ! != < <= > >= ==,Numeric,DropLevel > 65,base-data:RePoE base_items drop_level,,,"The level the base starts dropping at; no export field, no cpp filter, no trade filter."
ElderItem,,boolean,= ! != ==,True / False,ElderItem True,influences.elder|elder,Influenced,stat:pseudo.pseudo_has_elder_influence,"cpp `Influenced` is one boolean over all six influences; the filter names each separately; trade puts influence in pseudo stats, not a filter."
ElderMap,,boolean,= ! != ==,True / False,ElderMap False,absent:no export field,,,
